Id,SalePrice
1461,129673.35134714363
1462,150270.43326858056
1463,174238.57532166215
1464,182933.18079965387
1465,181633.65602868865
1466,178291.36634120115
1467,165571.59423100651
1468,175059.58654458463
1469,192284.49041387782
1470,123721.4292708185
1471,195957.88498742037
1472,104413.43177893848
1473,104279.8796141254
1474,155850.3768138146
1475,117864.39928989108
1476,332893.0070002917
1477,248313.29425779704
1478,255153.29694717005
1479,270117.96409883804
1480,478680.9416907441
1481,282615.2260570214
1482,197687.41873475965
1483,181063.3901088356
1484,178017.88841837316
1485,177005.98779617797
1486,198172.35687875754
1487,268134.82888408145
1488,249700.10218810593
1489,195402.08998448827
1490,215359.46670535806
1491,182540.2535411086
1492,96582.04516276521
1493,162414.87262288138
1494,308300.4564350869
1495,291715.4833658742
1496,230590.51857453393
1497,192363.0583354148
1498,155733.5067221504
1499,154629.95038022462
1500,156497.8749499632
1501,165363.35554895556
1502,152079.52874893538
1503,281011.3398044884
1504,230871.8810291643
1505,229250.44660484555
1506,160831.43684967395
1507,250829.77729129215
1508,191896.33292434816
1509,176078.59617675346
1510,137885.22058370794
1511,139736.42292177255
1512,163057.28846355207
1513,153349.0234945189
1514,144110.60362414544
1515,201570.75716350603
1516,167564.42820727665
1517,146869.9847734059
1518,139478.20395827724
1519,224147.1612181373
1520,141047.7370010001
1521,140446.42024541256
1522,171311.27097747015
1523,110412.86739562007
1524,125435.86021670683
1525,125904.02692403724
1526,124958.15966195223
1527,87580.88930640162
1528,123784.16941631662
1529,137897.22216426817
1530,164292.994403865
1531,171873.34705364553
1532,111510.1054977145
1533,137180.88664772682
1534,121649.95513460557
1535,133143.94072593545
1536,108416.70466818119
1537,107122.7825847939
1538,146496.8558224267
1539,145758.17631722364
1540,128283.42017232947
1541,128795.61970478995
1542,145930.9353394708
1543,183783.04237109888
1544,84223.04578840976
1545,99545.93320558575
1546,142260.5145306869
1547,157697.00427653478
1548,128090.01318122643
1549,121068.42332380562
1550,146304.24597221275
1551,127070.78266949128
1552,151114.8513317606
1553,119257.84662393799
1554,112563.60212847339
1555,191833.13440275253
1556,93735.50109572831
1557,128916.48556320801
1558,99567.38644958244
1559,118600.94941312353
1560,150743.8062083321
1561,140310.3079093502
1562,117722.34627002252
1563,126603.32494739011
1564,171230.8963182837
1565,154794.2773136296
1566,209345.99162751558
1567,87561.2858591386
1568,207601.43423028386
1569,149650.92061271737
1570,132845.5299072525
1571,128251.59493386958
1572,132272.6961307959
1573,230999.28436276838
1574,119004.37329419804
1575,202376.6082592142
1576,239173.58590879588
1577,190545.3880781544
1578,120291.38279296523
1579,144134.5912951078
1580,203962.1111651308
1581,126080.35492906821
1582,129666.39809200897
1583,361018.4870698703
1584,240616.25431886793
1585,140950.1875481683
1586,76280.79975277791
1587,108414.21124723331
